file_path,filename,speaker_id,attack_type,label,ground_truth_binary,split
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1047731.flac,LA_D_1047731.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1105538.flac,LA_D_1105538.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1125976.flac,LA_D_1125976.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1293230.flac,LA_D_1293230.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1340209.flac,LA_D_1340209.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1376638.flac,LA_D_1376638.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1377420.flac,LA_D_1377420.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1403371.flac,LA_D_1403371.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1590530.flac,LA_D_1590530.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1595036.flac,LA_D_1595036.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1618135.flac,LA_D_1618135.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1624385.flac,LA_D_1624385.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1766721.flac,LA_D_1766721.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1833136.flac,LA_D_1833136.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1837988.flac,LA_D_1837988.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1849134.flac,LA_D_1849134.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1865278.flac,LA_D_1865278.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1896334.flac,LA_D_1896334.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_1911275.flac,LA_D_1911275.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_2112837.flac,LA_D_2112837.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_2160989.flac,LA_D_2160989.flac,LA_0069,-,bonafide,1,cal_fit
C:\Users\jayan\OneDrive\Desktop\VERA\data\asvspoof2019\dev\flac\LA_D_2242311.flac,LA_D_2242311.flac,LA_0069,-,bonafide,1,cal_fit
